,Id,Id2,FIPS,,White,Black,American_Indian_and_Alaska_Native,Asian,Asian_Indian,Japanese,Korean,Vietnamese,Other_Asian,Hispanic_or_Latino,Mexican,Puerto_Rican,Cuban,Other_Hispanic_or_Latino
97,1400000US11001007404,11001007404,Census Tract 74.04,,0.2,98.2,0.6,0,0,0,0,0,0,0.3,0,0,0.3,0
98,1400000US11001007406,11001007406,Census Tract 74.06,,0,98,0,0,0,0,0,0,0,1.7,0,0,0,1.7
99,1400000US11001007407,11001007407,Census Tract 74.07,,0.7,96.2,0,0,0,0,0,0,0,0,0,0,0,0
100,1400000US11001007408,11001007408,Census Tract 74.08,,0.5,98.5,0.2,0,0,0,0,0,0,1,0.1,0,0,0.9
101,1400000US11001007409,11001007409,Census Tract 74.09,,0.6,98.2,0,1.2,1.2,0,0,0,0,0.3,0,0,0,0.3
102,1400000US11001007502,11001007502,Census Tract 75.02,,0.7,99,0,0,0,0,0,0,0,0.2,0.2,0,0,0
103,1400000US11001007503,11001007503,Census Tract 75.03,,1.1,97.9,0,0.2,0,0,0,0,0,0.6,0,0,0,0.6
104,1400000US11001007504,11001007504,Census Tract 75.04,,2.1,97.8,0,0,0,0,0,0,0,0,0,0,0,0
105,1400000US11001007601,11001007601,Census Tract 76.01,,2.1,96.6,0.6,0,0,0,0,0,0,1.8,0,0,0,1.8
106,1400000US11001007603,11001007603,Census Tract 76.03,,9.5,83.5,0,1.2,0,0,0,0,0.7,10.8,0.6,6.5,0,3.8
107,1400000US11001007604,11001007604,Census Tract 76.04,,4,94,1.6,0,0,0,0,0,0,2.2,0,0.7,0,1.4
108,1400000US11001007605,11001007605,Census Tract 76.05,,1.9,90.4,0.8,3.7,0,0,0.6,0,0,0.7,0,0.3,0,0.4
109,1400000US11001007703,11001007703,Census Tract 77.03,,0,98.5,0,0,0,0,0,0,0,1.5,0,0,0,1.5
110,1400000US11001007707,11001007707,Census Tract 77.07,,1.6,95.3,0,0,0,0,0,0,0,0,0,0,0,0
111,1400000US11001007708,11001007708,Census Tract 77.08,,0,100,0,0,0,0,0,0,0,0,0,0,0,0
112,1400000US11001007709,11001007709,Census Tract 77.09,,2.1,91,0,0,0,0,0,0,0,4.7,0,1.2,0,3.6
113,1400000US11001007803,11001007803,Census Tract 78.03,,1.3,92.5,1.6,0.2,0.2,0,0,0,0,4,0,0,0,4
114,1400000US11001007804,11001007804,Census Tract 78.04,,0.6,95.2,0,0.6,0,0,0.3,0,0.3,4.2,0,1.2,0,3
115,1400000US11001007806,11001007806,Census Tract 78.06,,2.7,95.4,0.6,0,0,0,0,0,0,0.3,0,0,0.2,0
116,1400000US11001007807,11001007807,Census Tract 78.07,,1.3,97.8,0,0.3,0,0,0,0,0,1.2,0,0,0,1.2
117,1400000US11001007808,11001007808,Census Tract 78.08,,0.9,98,0,0.2,0.2,0,0,0,0,1.6,0.2,0,0.4,1
118,1400000US11001007809,11001007809,Census Tract 78.09,,2.1,94,0.4,0.6,0,0,0,0,0.6,2,0.3,0,0,1.8
119,1400000US11001007901,11001007901,Census Tract 79.01,,15.6,78.7,2,0.4,0,0,0,0,0,2.6,1,0.4,0.1,1
120,1400000US11001007903,11001007903,Census Tract 79.03,,14.5,80.3,0.9,1.3,0.2,0,0,0.4,0,0.9,0.5,0,0,0.5
121,1400000US11001008001,11001008001,Census Tract 80.01,,59.7,29.6,0,8.9,5.3,0,0.5,0.4,0.8,4.3,1.2,0,0.8,2.3
122,1400000US11001008002,11001008002,Census Tract 80.02,,58.9,32.5,0,3.2,0.9,0,0.4,0,0.3,4.7,2.7,0.7,0,1.3
123,1400000US11001008100,11001008100,Census Tract 81,,81.5,12.2,0,2.7,0.7,0.2,0,0,0.2,5.8,2.3,0.7,0,2.8
124,1400000US11001008200,11001008200,Census Tract 82,,87.2,5.5,0,2.7,1,0.6,0,0,0.9,7.8,2.2,2,0,3.6
125,1400000US11001008301,11001008301,Census Tract 83.01,,78.6,11.6,0,4.9,1.2,0,0.7,0,0,5.7,2.7,0.4,0.4,2.2
126,1400000US11001008302,11001008302,Census Tract 83.02,,75.1,18.1,0.6,3.4,1,0.9,0.6,0,0,4.8,2.8,0.9,0,1.2
127,1400000US11001008402,11001008402,Census Tract 84.02,,48.6,43.9,0,2.3,2,0,0,0,0,3.4,1.8,0.4,0.4,0.6
128,1400000US11001008410,11001008410,Census Tract 84.10,,39.5,56.2,0,2.1,0.3,0.3,0,0.7,0,3,0.2,0,0.3,2.4
129,1400000US11001008701,11001008701,Census Tract 87.01,,27.7,69.4,0,0,0,0,0,0,0,4.1,0.9,0.5,0.3,2.4
130,1400000US11001008702,11001008702,Census Tract 87.02,,13.3,79.9,0,0.4,0,0,0.4,0,0,6.8,1,1.6,0,4.2
131,1400000US11001008802,11001008802,Census Tract 88.02,,13.7,79.7,1,2.3,0.8,0,0.4,0,1,0.4,0,0,0,0.4
