GEO.id,FIPS,GEO.display-label,HD01_VD01,,HD01_VD02,HD01_VD02A,HD01_VD03,HD01_VD03A,HD01_VD04,HD01_VD04A,HD01_VD05,HD01_VD05A,HD01_VD06,HD01_VD06A,HD01_VD07,HD01_VD07A,HD01_VD08,HD01_VD08A,HD01_VD09,HD01_VD09A,HD01_VD10,HD01_VD10A
Id,Id2,Geography,Estimate; Total:,,Estimate; Total: - White alone,White,Estimate; Total: - Black or African American alone,Black,Estimate; Total: - American Indian and Alaska Native alone,American Indian or Alaskan Native,Estimate; Total: - Asian alone,,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,,Estimate; Total: - Some other race alone,,Estimate; Total: - Two or more races:,,Estimate; Total: - Two or more races: - Two races including Some other race,,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races",
0500000US51073,51073,"Gloucester County, Virginia",36938,,32333,87.53,3253,8.8,96,0.259894959,176,0.476474092,0,0,83,0.22470085,997,2.69911744,71,0.19221398,926,2.50690346
0500000US51075,51075,"Goochland County, Virginia",21627,,16950,78.37,4256,19.67,42,0.194201692,127,0.587228927,0,0,67,0.309797938,185,0.855412216,28,0.129467795,157,0.725944421
0500000US51077,51077,"Grayson County, Virginia",15255,,14682,96.24,293,1.92,0,0,0,0,84,0.550639135,39,0.255653884,157,1.029170764,27,0.17699115,130,0.852179613
0500000US51079,51079,"Greene County, Virginia",18766,,16783,89.43,1265,6.74,0,0,236,1.25759352,28,0.149206011,43,0.229137802,411,2.190131088,1,0.005328786,410,2.184802302
0500000US51081,51081,"Greensville County, Virginia",11911,,4549,38.19,7110,59.69,42,0.35261523,47,0.394593233,0,0,49,0.411384435,114,0.95709848,57,0.47854924,57,0.47854924
0500000US51083,51083,"Halifax County, Virginia",35704,,21649,60.63,13216,37.01,44,0.123235492,201,0.562962133,9,0.02520726,343,0.960676675,242,0.677795205,25,0.070020166,217,0.607775039
0500000US51085,51085,"Hanover County, Virginia",100689,,87003,86.4,9327,9.26,250,0.248289287,1423,1.413262621,30,0.029794714,808,0.802470975,1848,1.835354408,111,0.110240443,1737,1.725113965
0500000US51087,51087,"Henrico County, Virginia",314878,,186687,59.28,93134,29.57,891,0.282966736,22163,7.038599076,135,0.042873748,3942,1.251913439,7926,2.517165378,564,0.179116991,7362,2.338048387
0500000US51089,51089,"Henry County, Virginia",52960,,39126,73.87,11584,21.87,22,0.041540785,287,0.541918429,0,0,1095,2.067598187,846,1.597432024,49,0.092522659,797,1.504909366
0500000US51091,51091,"Highland County, Virginia",2258,,2254,99.82,0,0,0,0,0,0,0,0,0,0,4,0.177147919,0,0,4,0.177147919
0500000US51093,51093,"Isle of Wight County, Virginia",35518,,25377,71.44,8304,23.37,32,0.090095163,380,1.069880061,0,0,369,1.038909849,1056,2.97314038,105,0.295624754,951,2.677515626
0500000US51095,51095,"James City County, Virginia",69832,,56253,80.55,9581,13.72,258,0.369458128,2047,2.931320884,45,0.064440371,452,0.647267728,1196,1.712681865,176,0.252033452,1020,1.460648413
0500000US51097,51097,"King and Queen County, Virginia",7073,,4860,68.71,1987,28.09,75,1.060370423,13,0.18379754,0,0,8,0.113106178,130,1.837975399,10,0.141382723,120,1.696592676
0500000US51099,51099,"King George County, Virginia",24577,,18809,76.53,4518,18.38,79,0.321438744,280,1.139276559,21,0.085445742,174,0.707979005,696,2.831916019,3,0.012206535,693,2.819709484
0500000US51101,51101,"King William County, Virginia",16045,,12326,76.82,3056,19.04,189,1.177937052,170,1.0595201,0,0,17,0.10595201,287,1.788719227,4,0.024929885,283,1.763789342
0500000US51103,51103,"Lancaster County, Virginia",11224,,7826,69.72,3164,28.18,0,0,123,1.095866001,0,0,14,0.124732716,97,0.86421953,0,0,97,0.86421953
0500000US51105,51105,"Lee County, Virginia",25380,,23875,94.07,882,3.47,186,0.73286052,61,0.24034673,0,0,130,0.512214342,246,0.969267139,15,0.059101655,231,0.910165485
